id,doi,title,publication_year,type,cited_by_count,authorship_count,authors
https://openalex.org/W7126111491,https://doi.org/10.1016/j.cell.2025.12.049,"Hallmarks of cancer—Then and now, and beyond",2026,article,175,1,Douglas Hanahan
https://openalex.org/W7154057906,https://doi.org/10.3847/1538-3881/ae4c43,Data Release 1 of the Dark Energy Spectroscopic Instrument,2026,article,94,100,M. Abdul Karim; A. G. Adame; David S. Aguado; J. Aguilar; S. P. Ahlen; Shadab Alam; G. Aldering; D. M. Alexander; Rahma. Alfarsy; Lori Allen; Carlos Allende Prieto; O. Alves; Abhijeet Anand; U. Andrade; Eric Armengaud; Santiago Avila; Alejandro Avilés; Humna Awan; S. Bailey; Antón Baleato Lizancos; O. Ballester; A. Bault; J. Bautista; R. Bean; Jayashree Behera; Segev BenZvi; Leandro Beraldo e Silva; J. R. Bermejo-Climent; Florian Beutler; D. Bianchi; Chris Blake; Robert Blum; A. Bolton; M. Bonici; S. Brieden; A. Brodzeller; D. Brooks; E. Buckley-Geer; E. Burtin; Amanda Byström; R. Canning; A. Carnero Rosell; Anthony Carr; P. Carrilho; L. Casas; F. J. Castander; R. Cereskaite; Jorge L. Cervantes–Cota; E. Chaussidon; J. Chaves-Montero; Shi-Fan Chen; X. Chen; Chiara Circosta; T. Claybaugh; Shaun Cole; Andrew P. Cooper; M.-C. Cousinou; Andrei Cuceu; T. M. Davis; Kyle Dawson; Roger de Belsunce; R. de la Cruz; Axel de la Macorra; Arnaud de Mattia; N. Deiosso; John Della Costa; Regina Demina; U Demirbozan; Joseph DeRose; Arjun Dey; Biprateep Dey; J. Ding; Z. Ding; P. Doel; Kelly A. Douglass; M. Dowicz; Haruki Ebina; J. Edelstein; D. J. Eisenstein; Willem Elbers; N Emas; S. Escoffier; Parker Fagrelius; Xiaohui Fan; K. Fanning; Ginevra Favole; Victoria A. Fawcett; E. Fernández-García; S. Ferraro; N. Findlay; Andreu Font-Ribera; J. E. Forero-Romero; D. Forero-Sánchez; C. S. Frenk; Boris Gaensicke; L. Galbany; J. García-Bellido; C. García-Quintero; Lehman H. Garrison; E. Gaztañaga
https://openalex.org/W7118163876,https://doi.org/10.1038/s41422-025-01203-7,Mitophagy in the pathogenesis and management of disease,2026,article,59,4,Qi Wang; Yu Sun; Terytty Yang Li; Johan Auwerx
https://openalex.org/W7118216849,https://doi.org/10.1002/adma.202510646,Intelligent Tactile Perception Revolution: Innovations in Flexible FET‐Based Tactile Sensors for Next‐Gen Human–Machine Interfaces,2026,article,43,15,Qiyi Nie; Fei Wang; Feng‐Shou Yang; Hanzhi Xun; Jiachen Hou; Q. Meng X.D. Xu; Ying Hong; Jingyu Zhang; Xueyong Wei; Yen‐Fu Lin; Po‐Wen Chiu; Longhui Zeng; Mengjiao Li; Biao Wang; Jianhua Zhang
https://openalex.org/W7127080620,https://doi.org/10.1051/0004-6361/202557993,The Local Distance Network: A community consensus report on the measurement of the Hubble constant at ∼1% precision,2026,article,33,37,Stefano Casertano; Gagandeep Anand; Richard I. Anderson; Rachael Beaton; Anupam Bhardwaj; John P. Blakeslee; Paula Boubel; Louise Breuval; Dillon Brout; Michele Cantiello; Mauricio Cruz Reyes; G. Csörnyei; Thomas de Jaeger; Suhail Dhawan;  Eleonora Di Valentino; Lluís Galbany; Hector Gil-Marín; D. Graczyk; Caroline D. Huang; Joseph B. Jensen; Pierre Kervella; Bruno Leibundgut; Bastian Lengen; Siyang Li; Lucas Macri; Emre Özülker; Dominic W. Pesce; Adam Riess; M. Romaniello; Khaled Said; Nils Schöneberg; Dan Scolnic; T. Sicignano; D. M. Skowron; Syed A. Uddin; Licia Verde; A. Nota
https://openalex.org/W7126412188,https://doi.org/10.1016/j.rineng.2026.109376,A transfer-learning framework to alleviate data scarcity in cross-slope wind pressure modeling,2026,article,29,10,Yaowei Fan; Jinlong Liu; Yaxin Tao; Yubo Sun; Zhe Li; Junpeng Li; Kun Wang; Jiachen Ma; Dingqiang Fan; Lei Xu
https://openalex.org/W4412828391,https://doi.org/10.1038/s41586-026-10735-w,Distributed control circuits across a brain-and-cord connectome,2026,article,28,100,Alexander Shakeel Bates; Jasper S. Phelps; Minsu Kim; Helen H. Yang; Arie Matsliah; Zaki Ajabi; Eric Perlman; Kevin M. Delgado; Mohammed Abdal Monium Osman; Christopher Salmon; Jay Gager; Benjamin Silverman; Sophia Renauld; Farzaan Salman; Janki Patel; Matthew F. Collie; Jingxuan Fan; Diego A. Pacheco; Yunzhi Zhao; Wenyi Zhang; Laia Serratosa Capdevila; Ruairí J.V. Roberts; Eva J Munnelly; Nina Griggs; Helen Langley; Borja Moya‐Llamas; Zuoyu Zhang; Ryan Maloney; Szi-chieh Yu; Amy Sterling; Marissa Sorek; Krzysztof Kruk; Nikitas Serafetinidis; Serene Dhawan; Finja Klemm; Paul Brooks; Ellen Lesser; Jessica Jones; Sara E Pierce-Lundgren; Su-Yee J. Lee; Yichen Luo; Andrew P. Cook; Theresa H. McKim; Dimitrios Stasi Giakoumas; Benjamin Gorko; Justin Ellis-Joyce; Jiayi Zhang; Emily C. Kophs; Tjalda Falt; Alexa M. Negron-Morales; A Burke; James Hebditch; Kyle Willie; Ryan Willie; S. Yu. Popovych; Nico Kemnitz; Dodam Ih; Kisuk Lee; Ran Lu; Akhilesh Halageri; J. Alexander Bae; Ben Jourdan; Gregory Schwartzman; Damian D Demarest; E.J. Behnke; Doug Bland; Anne Kristiansen; Jaime Skelton; Tom Stocks; Dustin Garner; A.I. Buenfil Hernández; Sandeep Kumar; Jasper S. Phelps; Minsu Kim; Farzaan Salman; Dimitrios Stasi Giakoumas; Benjamin L. de Bivort; Anna Verbe; Gabriel A. Nieves-Sanabria; Devon Jones; Zijin Huang; Sofia Pinto; Celia David; Omaris Y. De Pablo-Crespo; Emily Ye; Wolf Huetteroth; Zequan Liu; Fernando J. Figueroa Santiago; Kevin C. Daly; Sven Dorkenwald; Forrest Collman; Marie P. Suver; Lisa M. Fenk; Michael J. Pankratz; Zepeng Yao; Fei Wang; Stephen J Huston; Tomke Stürner; Gregory S.X.E. Jefferis; Katharina Eichler
https://openalex.org/W4415987050,https://doi.org/10.1093/mnras/stag375,The COLIBRE project: cosmological hydrodynamical simulations of galaxy formation and evolution,2026,article,26,21,Joop Schaye; Evgenii Chaikin; Matthieu Schaller; Sylvia Ploeckinger; Filip Huško; Robert J McGibbon; James W. Trayford; Alejandro Benítez-Llambay; Camila Correa; Carlos S. Frenk; Alexander J. Richings; Victor J. Forouhar Moreno; Yannick M Bahé; Josh Borrow; Anna Durrant; Andrea Gebek; John Helly; Adrian Jenkins; C. G. Lacey; Aaron D. Ludlow; Folkert S J Nobels
https://openalex.org/W7202266592,https://doi.org/10.1038/s41586-026-10846-4,A gas-enshrouded and gas-reddened black hole at cosmic dawn,2026,article,25,54,Rohan P. Naidu; Jorryt Matthee; Harley Katz; Anna de Graaff; Pascal A. Oesch; Aaron Smith; Jenny E. Greene; Gabriel Brammer; Andrea Weibel; Raphael E. Hviding; John Chisholm; Ivo Labbé; Robert A. Simcoe; Callum Witten; Wendy Q. Sun; Hakim Atek; Josephine F. W. Baggen; Sirio Belli; Rachel Bezanson; Leindert Boogaard; Sownak Bose; Rychard J. Bouwens; Alba Covelo-Paz; Pratika Dayal; Yoshinobu Fudamoto; Lukas J. Furtak; Emma Giovinazzo; Andy Goulding; Max Grönke; K. E. Heintz; Michaela Hirschmann; G. D. Illingworth; Akio Inoue; Benjamin D. Johnson; Joel Leja; Ecaterina Leonova; Ian McConachie; Michael V. Maseda; Priyamvada Natarajan; Erica Nelson; David J. Setton; Irene Shivaei; David Sobral; Mauro Stefanon; Sandro Tacchella; Sune Toft; Alberto Torralba; Pieter van Dokkum; Arjen van der Wel; Marta Volonteri; Fabian Walter; Bingjie Wang; D. Watson; Katherine E. Whitaker
https://openalex.org/W7148240656,https://doi.org/10.1051/0004-6361/202554610,Euclid Quick Data Release (Q1),2026,article,24,100,H. Aussel; I. Tereno; M. Schirmer; G. Alguero; B. Altieri; E. Balbinot; T. de Boer; P. Casenove; P. Corcho-Caballero; H. Furusawa; J. Furusawa; M. J. Hudson; K. Jahnke; G. Libet; J. Macias-Perez; N. Masoumzadeh; J. J. Mohr; J. Odier; D. Scott; T. Vassallo; G. Verdoes Kleijn; A. Zacchei; N. Aghanim; A. Amara; S. Andreon; N. Auricchio; S. Awan; R. Azzollini; C. Baccigalupi; M. Baldi; A. Balestra; S. Bardelli; A. Basset; P. Battaglia; A. N. Belikov; R. Bender; A. Biviano; A. Bonchi; D. Bonino; E. Branchini; M. Brescia; J. Brinchmann; S. Camera; G. Cañas-Herrera; V. Capobianco; C. Carbone; V. F. Cardone; J. Carretero; S. Casas; F. J. Castander; M. Castellano; G. Castignani; S. Cavuoti; K. C. Chambers; A. Cimatti; C. Colodro-Conde; G. Congedo; C. J. Conselice; L. Conversi; Y. Copin; F. Courbin; H. M. Courtois; M. Cropper; J.-G. Cuby; A. Da Silva; R. da Silva; H. Degaudenzi; J. T. A. de Jong; G. De Lucia; A. M. Di Giorgio; J. Dinis; C. Dolding; H. Dole; M. Douspis; F. Dubath; C. A. J. Duncan; X. Dupac; S. Dusini; A. Ealet; S. Escoffier; M. Fabricius; M. Farina; R. Farinelli; F. Faustini; S. Ferriol; S. Fotopoulou; N. Fourmanoit; M. Frailis; E. Franceschi; P. Franzetti; S. Galeotta; K. George; W. Gillard; B. Gillis; C. Giocoli; P. Gómez-Alvarez; J. Gracia-Carpio; B. R. Granett; A. Grazian; F. Grupp
